screen_date,factor_rank,symbol,factor_score,signal_entry_price,stop_loss,take_profit,timing_reason,already_held,queued_for_buy
2026-03-20,1,603799,-27.950537980620794,57.41,54.5395,,"oversold-bounce: RSI=28.0, close>56.22",True,False
2026-03-20,2,603993,-28.211558072196397,17.55,16.6725,,"oversold-bounce: RSI=28.2, close>15.13",True,False
2026-03-20,3,601899,-28.367238224734507,31.65,30.0675,,"oversold-bounce: RSI=28.4, close>27.99",False,True
2026-03-23,1,600362,-23.975141083840356,42.45,40.3275,,"oversold-bounce: RSI=24.0, close>37.48",True,False
2026-03-23,2,603993,-25.00652969870366,16.49,15.665499999999998,,"oversold-bounce: RSI=25.0, close>15.17",True,False
2026-03-23,3,601899,-25.890319487269295,30.58,29.051,,"oversold-bounce: RSI=25.9, close>28.05",True,False
2026-03-23,4,000408,-27.255153115178018,70.55,67.0225,,"oversold-bounce: RSI=27.3, close>61.86",True,False
2026-03-23,5,600489,-27.678258847235057,23.91,22.714499999999997,,"oversold-bounce: RSI=27.7, close>21.36",False,True
2026-03-23,6,000630,-27.733823824083586,5.59,5.310499999999999,,"oversold-bounce: RSI=27.7, close>5.08",False,True
2026-03-23,7,000157,-28.268492006005275,8.11,7.7044999999999995,,"oversold-bounce: RSI=28.3, close>8.10",False,True
2026-03-23,8,002050,-28.93602288994451,43.0,40.85,,"oversold-bounce: RSI=28.9, close>39.99",False,True
2026-03-24,1,002050,-27.956768050214777,42.57,40.4415,,"oversold-bounce: RSI=28.0, close>40.08",True,False
