date,n_positions,market_value,cash
2020-09-14,0,0.0,974483.001597098
2020-09-15,0,0.0,974483.001597098
2020-09-16,0,0.0,974483.001597098
2020-09-17,0,0.0,974483.001597098
2020-09-18,0,0.0,974483.001597098
2020-09-21,0,0.0,974483.001597098
2020-09-22,0,0.0,974483.001597098
2020-09-23,0,0.0,974483.001597098
2020-09-24,0,0.0,974483.001597098
2020-09-25,0,0.0,974483.001597098
2020-09-28,0,0.0,974483.001597098
2020-09-29,0,0.0,974483.001597098
2020-09-30,0,0.0,974483.001597098
2020-10-05,0,0.0,974483.001597098
2020-10-06,0,0.0,974483.001597098
2020-10-07,0,0.0,974483.001597098
2020-10-08,0,0.0,974483.001597098
2020-10-09,0,0.0,974483.001597098
2020-10-12,0,0.0,974483.001597098
2020-10-14,0,0.0,974483.001597098
2020-10-15,0,6012.21339273022,974483.001597098
2020-10-16,1,201896.71075106726,775424.501957098
2020-10-19,1,197682.0826982198,775424.501957098
2020-10-20,1,195499.7037277912,775424.501957098
2020-10-21,1,194030.45298790478,775424.501957098
2020-10-22,1,194286.45030907367,775424.501957098
2020-10-23,1,198461.51138622034,775424.501957098
2020-10-27,1,199174.49876292446,775424.501957098
2020-10-28,1,192783.783692191,775424.501957098
2020-10-29,1,191134.50093803217,775424.501957098
2020-10-30,1,193710.46644315927,775424.501957098
2020-11-02,1,190347.67970656406,775424.501957098
2020-11-03,1,187776.69256407116,775424.501957098
2020-11-04,1,186347.44598703145,775424.501957098
2020-11-05,2,357269.77113236964,600196.949457098
2020-11-06,2,359882.7441454878,600196.949457098
2020-11-09,2,355617.4459238963,600196.949457098
2020-11-10,2,351144.3122392917,600196.949457098
2020-11-11,1,201329.16581835877,754740.880827098
2020-11-12,1,195550.99053006712,754740.880827098
2020-11-13,1,187560.78709300328,754740.880827098
2020-11-16,1,191492.38378431392,754740.880827098
2020-11-17,1,196138.53220690263,754740.880827098
2020-11-18,1,192711.35337523557,754740.880827098
2020-11-19,1,191111.3602114824,754740.880827098
2020-11-20,1,188561.75870221283,754740.880827098
2020-11-23,1,190528.60608113685,754740.880827098
2020-11-24,1,195999.38755375403,754740.880827098
2020-11-25,1,200168.1233837317,754740.880827098
2020-11-26,2,399138.61643054907,557254.422658098
2020-11-27,2,397865.11839775206,557254.422658098
2020-11-30,2,398659.73979357514,557254.422658098
2020-12-01,3,610244.4350853564,357418.913985298
2020-12-02,3,617932.2859635289,357418.913985298
2020-12-03,3,611325.9963951866,357418.913985298
2020-12-04,3,610229.457006491,357418.913985298
2020-12-07,3,600205.4120990706,357418.913985298
2020-12-08,2,386908.33263058704,560862.181470898
2020-12-09,1,181445.56359152088,766638.0745958979
2020-12-10,1,181012.16982811957,766638.0745958979
2020-12-11,1,180880.76283281296,766638.0745958979
2020-12-14,1,179685.53820440243,766638.0745958979
2020-12-15,1,181520.39024718083,766638.0745958979
2020-12-16,1,176443.56411764724,766638.0745958979
2020-12-17,0,-15588.662760207662,953663.1694886979
2020-12-18,0,-13949.29670499009,953663.1694886979
2020-12-21,0,-12724.60984344862,953663.1694886979
2020-12-22,0,-10839.56150263024,953663.1694886979
2020-12-23,0,-14322.726854603505,953663.1694886979
2020-12-24,0,-12607.909204867203,953663.1694886979
2020-12-28,0,-7718.185400777496,953663.1694886979
2020-12-29,0,-12540.523634778685,953663.1694886979
2020-12-30,0,-20458.607340445393,953663.1694886979
2020-12-31,0,-23664.497374630067,953663.1694886979
2021-01-04,0,-23728.561017575674,953663.1694886979
2021-01-05,0,-25430.622719624662,953663.1694886979
2021-01-06,0,-29822.55235040968,953663.1694886979
2021-01-07,0,-26662.260557401925,953663.1694886979
2021-01-08,0,-31824.688490835717,953663.1694886979
2021-01-11,1,172014.6815235666,753651.4319630979
2021-01-12,3,570655.1787332306,353734.0947436979
2021-01-13,3,571409.5938505686,353734.0947436979
2021-01-14,3,566998.2664449242,353734.0947436979
2021-01-15,3,575709.4487897569,353734.0947436979
2021-01-18,4,772829.6509274587,153860.53665949794
2021-01-19,4,778169.8054704231,153860.53665949794
2021-01-20,4,765183.0999643253,153860.53665949794
2021-01-21,4,767963.2900401587,153860.53665949794
2021-01-22,4,748529.6948247168,153860.53665949794
2021-01-25,4,752892.2092998074,153860.53665949794
2021-01-26,4,750141.4172411908,153860.53665949794
2021-01-27,4,755362.8740365526,153860.53665949794
2021-01-28,4,753662.4799014684,153860.53665949794
2021-01-29,3,544865.0372246195,352458.96663229796
2021-02-01,1,155620.5706803084,734596.523155698
2021-02-02,1,149517.5308827617,734596.523155698
2021-02-03,1,147402.29540664644,734596.523155698
2021-02-04,1,150504.3501404078,734596.523155698
2021-02-05,1,155828.26799580874,734596.523155698
2021-02-08,1,153289.275223086,734596.523155698
2021-02-09,1,150176.91181377426,734596.523155698
2021-02-10,2,334938.0432380728,546912.7949236981
2021-02-11,2,334367.57040536497,546912.7949236981
2021-02-16,2,338698.58766264515,546912.7949236981
2021-02-17,2,344769.26439506863,546912.7949236981
2021-02-18,2,344408.6173174962,546912.7949236981
2021-02-19,3,539715.1840813886,347302.57881839806
2021-02-22,3,551710.0745755094,347302.57881839806
2021-02-23,3,558674.7448406533,347302.57881839806
2021-02-24,4,754737.4849078142,147386.96612159806
2021-02-25,3,574954.7454794724,336950.21312159806
2021-02-26,3,568532.2743069476,336950.21312159806
2021-03-01,3,558180.9948677234,336950.21312159806
2021-03-02,3,556903.8804362842,336950.21312159806
